The measurements of stack and heap usage are taken every 10 seconds fot 10 minutes.

I (346154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (355484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (355744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (356144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (356154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (365484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (365744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (366144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (366154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (375494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (375744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (376144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (376154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (385484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (385744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (386144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (386154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (395484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (395744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (396144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (396154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (405494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (405744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (406144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (406154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (415484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (415744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (416144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (416154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (425484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (425744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (426144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (426154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (435494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (435744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (436144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (436154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
